ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location,Zip Codes,2010 Census Neighborhoods,2010 Census Wards Precincts
0114 010 012617,0114,010,1119 HARLEM AVE,01/26/2017,Harlem Park,Western,9,"(39.29654486, -76.63636983)",27301,106,53
1570 053 052507,1570,053,2214 PRENTISS PL,05/25/2007,Middle East,Eastern,13,"(39.30311489, -76.58647893)",13987,152,153
2169 108 050219,2169,108,2 ASHBURTON ST,05/02/2019,Shipley Hill,Southwestern,9,"(39.28805821, -76.6613502)",27632,225,78
4024 014 072910,4024,014,724 E 23RD ST,07/29/2010,East Baltimore Midway,Eastern,12,"(39.31599582, -76.60779025)",27307,73,157
2165 015 072910,2165,015,31 N CATHERINE ST,07/29/2010,Shipley Hill,Southwestern,9,"(39.28865261, -76.65630395)",27632,225,78
0169 043 050410,0169,043,1226 RANKIN PL,05/04/2010,Poppleton,Western,9,"(39.29189223, -76.63788291)",27632,201,8
1595 091 070217,1595,091,921 N STREEPER ST,07/02/2017,Madison-Eastend,Eastern,13,"(39.30189172, -76.57735232)",13987,145,124
1464 064 012419,1464,064,1716 N PORT ST,01/24/2019,Broadway East,Eastern,13,"(39.31039359, -76.583919)",26956,23,277
4139 020 022706,4139,020,2724 HARFORD ROAD,02/27/2006,Coldstream Homestead Montebello,Notheastern,14,"(39.32104941, -76.59129296)",27307,54,189
0077 008 071709,0077,008,1321 MOSHER ST,07/17/2009,Sandtown-Winchester,Western,9,"(39.29991302, -76.63947165)",27301,221,15
0061 023 102607,0061,023,1615 RIGGS AVE,10/26/2007,Sandtown-Winchester,Western,9,"(39.30083159, -76.64382272)",27301,221,86
5165 080 042817,5165,080,617 MCCABE AVE,04/28/2017,Winston-Govans,Northern,4,"(39.35231707, -76.6074191)",14009,261,217
0065 012 021805,0065,012,1222 MOSHER ST,02/18/2005,Sandtown-Winchester,Western,9,"(39.30032524, -76.63825671)",27301,221,15
4178I045 120115,4178I,045,3401 RAVENWOOD AVE,12/01/2015,Four By Four,Notheastern,13,"(39.31517438, -76.57571986)",26956,276,194
0274 079 030717,0274,079,1914 WILHELM ST,03/07/2017,Carrollton Ridge,Southern,9,"(39.28379735, -76.64745422)",27632,36,279
2165 021 083007,2165,021,19 N CATHERINE ST,08/30/2007,Shipley Hill,Southwestern,9,"(39.28843217, -76.65628799)",27632,225,78
0702 009 060513,0702,009,2102 EAGLE ST,06/05/2013,Carrollton Ridge,Southwestern,9,"(39.2805783, -76.64929117)",27632,36,279
7531 025 090716,7531,025,2318 W PATAPSCO AVE,09/07/2016,Lakeland,Southern,10,"(39.25209575, -76.64839382)",27953,134,162
3185 003 092607,3185,003,4320 REISTERSTOWN ROAD,09/26/2007,Towanda-Grantley,Northwestern,6,"(39.33816313, -76.66769611)",27295,232,283
3350J056 080417,3350J,056,2508 LOYOLA NORTHWAY,08/04/2017,Greenspring,Northern,6,"(39.34014182, -76.66074971)",27295,96,70
0071 062 042514,0071,062,1903 MOSHER ST,04/25/2014,Midtown-Edmondson,Western,9,"(39.29961155, -76.64774821)",27301,153,86
4071 062E 073018,4071,062E,2717 BOONE ST,07/30/2018,Better Waverly,Northern,14,"(39.32149443, -76.60841285)",27307,16,179
3185 065 052618,3185,065,2840 BOARMAN AVE,05/26/2018,Towanda-Grantley,Northwestern,6,"(39.33759007, -76.66916806)",27295,232,283
